"Malibu Beach, Dorchester: Bacterial Water Quality",,,,,
,,,,Malibu Beach,
Date,1-Day Rain,2-Day Rain,3-Day Rain,Tag,Enterococcus
"September 1, 2024",0,0,0,,41
"August 31, 2024",0,0,0,,10
"August 30, 2024",0,0,0,,14
"August 29, 2024",0,0,0,,5
"August 28, 2024",0,0,0,<,10
"August 27, 2024",0,0,0,<,10
"August 26, 2024",0,0,0,<,10
"August 25, 2024",0,0,0,,10
"August 24, 2024",0,0,0,<,10
"August 23, 2024",0,0,0,,67
"August 22, 2024",0,0,0.01,,10
"August 21, 2024",0,0.01,0.12,,354
"August 20, 2024",0.01,0.12,0.15,,435
"August 19, 2024",0.11,0.14,0.14,,2050
"August 18, 2024",0.03,0.03,0.03,,63
"August 17, 2024",0,0,0.89,,52
"August 16, 2024",0,0.89,0.89,,54
"August 15, 2024",0.89,0.89,0.89,,2
"August 14, 2024",0,0,0,<,10
"August 13, 2024",0,0,0,<,10
"August 12, 2024",0,0,0.11,<,10
"August 11, 2024",0,0.11,0.43,,63
"August 10, 2024",0.11,0.43,0.65,,41
"August 9, 2024",0.32,0.54,0.75,,2
"August 8, 2024",0.22,0.43,1.04,,22
"August 7, 2024",0.21,0.82,0.82,,1580
"August 6, 2024",0.61,0.61,0.97,,63
"August 5, 2024",0,0.36,0.36,,479
"August 4, 2024",0.36,0.36,1.19,,41
"August 3, 2024",0,0.83,0.83,,10
"August 2, 2024",0.83,0.83,1.03,,20
"August 1, 2024",0,0.2,0.2,,17
"July 31, 2024",0.2,0.2,0.23,<,10
"July 30, 2024",0,0.03,0.03,,10
"July 29, 2024",0.03,0.03,0.03,,74
"July 28, 2024",0,0,0,,254
"July 27, 2024",0,0,0,<,10
"July 26, 2024",0,0,0.01,,56
"July 25, 2024",0,0.01,0.02,,95
"July 24, 2024",0.01,0.02,0.03,,41
"July 23, 2024",0.01,0.02,0.02,,259
"July 22, 2024",0.01,0.01,0.01,,10
"July 21, 2024",0,0,0,,371
"July 20, 2024",0,0,0.2,,10
"July 19, 2024",0,0.2,0.22,,16
"July 18, 2024",0.2,0.22,0.22,,177
"July 17, 2024",0.02,0.02,0.06,,30
"July 16, 2024",0,0.04,0.04,,41
"July 15, 2024",0.04,0.04,0.34,,10
"July 14, 2024",0,0.3,0.33,,30
"July 13, 2024",0.3,0.33,0.33,,3650
"July 12, 2024",0.03,0.03,0.03,,2
"July 11, 2024",0,0,0,,40
"July 10, 2024",0,0,0,<,10
"July 9, 2024",0,0,0,,20
"July 8, 2024",0,0,0,<,10
"July 7, 2024",0,0,0.38,,74
"July 6, 2024",0,0.38,0.38,,20
"July 5, 2024",0.38,0.38,0.38,,38
"July 4, 2024",0,0,0,,75
"July 3, 2024",0,0,0.16,,10
"July 2, 2024",0,0.16,0.18,,52
"July 1, 2024",0.16,0.18,0.18,<,10
"June 30, 2024",0.02,0.02,0.02,<,10
"June 29, 2024",0,0,0.08,,20
"June 28, 2024",0,0.08,2.05,,20
"June 27, 2024",0.08,2.05,2.05,,32
"June 26, 2024",1.97,1.97,2.07,,10
"June 25, 2024",0,0.1,0.18,,384
"June 24, 2024",0.1,0.18,0.36,,85
"June 23, 2024",0.08,0.26,0.74,,63
"June 22, 2024",0.18,0.66,0.95,,609
"June 21, 2024",0.48,0.77,0.77,,6
"June 20, 2024",0.29,0.29,0.29,,12
"June 19, 2024",0,0,0,,41
"June 18, 2024",0,0,0,<,10
"June 17, 2024",0,0,0.03,,10
"June 16, 2024",0,0.03,0.57,,20
"June 15, 2024",0.03,0.57,0.57,<,10
"June 11, 2024",0,0,0.23,,10
"June 4, 2024",0,0,0,,20
"May 29, 2024",0,0.14,0.4,,10
"May 28, 2024",0.14,0.4,0.52,,884
"May 21, 2024",0,0,0.08,<,10
"September 3, 2023",0.01,0.01,0.01,,132
"September 2, 2023",0,0,0,,10
"September 1, 2023",0,0,0.54,,40
"August 31, 2023",0,0.54,0.83,,67
"August 30, 2023",0.54,0.83,0.83,,148
"August 29, 2023",0.29,0.29,0.29,,31
"August 28, 2023",0,0,0,,31
"August 27, 2023",0,0,1.78,,285
"August 26, 2023",0,1.78,1.79,,121
"August 25, 2023",1.78,1.79,1.79,,59
"August 24, 2023",0.01,0.01,0.01,,4
"August 23, 2023",0,0,0.28,,30
"August 22, 2023",0,0.28,0.28,,10
"August 21, 2023",0.28,0.28,0.28,,98
"August 20, 2023",0,0,1.35,,148
"August 19, 2023",0,1.35,1.35,,156
"August 18, 2023",1.35,1.35,1.35,,43
"August 17, 2023",0,0,0.64,,35
"August 16, 2023",0,0.64,0.64,,52
"August 15, 2023",0.64,0.64,0.79,,10
"August 14, 2023",0,0.15,0.15,,20
"August 13, 2023",0.15,0.15,0.2,<,10
"August 12, 2023",0,0.05,0.09,<,10
"August 11, 2023",0.05,0.09,0.09,,8
"August 10, 2023",0.04,0.04,1.37,,32
"August 9, 2023",0,1.33,1.33,,31
"August 8, 2023",1.33,1.33,1.33,,10
"August 7, 2023",0,0,0,,10
"August 6, 2023",0,0,0,,31
"August 5, 2023",0,0,0,,269
"August 4, 2023",0,0,0,,25
"August 3, 2023",0,0,0,,107
"August 2, 2023",0,0,0,,31
"August 1, 2023",0,0,0,,96
"July 31, 2023",0,0,3.07,,181
"July 30, 2023",0,3.07,3.07,,2380
"July 29, 2023",3.07,3.07,3.3,,52
"July 28, 2023",0,0.23,0.23,,12
"July 27, 2023",0.23,0.23,1.11,,5
"July 26, 2023",0,0.88,0.88,,20
"July 25, 2023",0.88,0.88,0.88,<,10
"July 24, 2023",0,0,0,<,10
"July 23, 2023",0,0,1.98,,41
"July 22, 2023",0,1.98,1.98,,243
"July 21, 2023",1.98,1.98,1.98,<,2
"July 20, 2023",0,0,0,,2
"July 19, 2023",0,0,0,<,10
"July 18, 2023",0,0,1.6,,10
"July 17, 2023",0,1.6,1.6,,240
"July 16, 2023",1.6,1.6,1.72,,717
"July 15, 2023",0,0.12,0.18,<,10
"July 14, 2023",0.12,0.18,0.18,,35
