Timestamp,Orbit Mean Density (kg/m^3)
2017-09-06 00:00:00,3.53149973123559e-13
2017-09-06 00:10:00,3.547828709800984e-13
2017-09-06 00:20:00,3.509788983302769e-13
2017-09-06 00:30:00,3.4700582161473645e-13
2017-09-06 00:40:00,3.469001547703344e-13
2017-09-06 00:50:00,3.440422458551418e-13
2017-09-06 01:00:00,3.414151555352872e-13
2017-09-06 01:10:00,3.451588915874756e-13
2017-09-06 01:20:00,3.534187976212585e-13
2017-09-06 01:30:00,3.5657072395284213e-13
2017-09-06 01:40:00,3.597485787536916e-13
2017-09-06 01:50:00,3.6541679090106324e-13
2017-09-06 02:00:00,3.619565605868633e-13
2017-09-06 02:10:00,3.52162742398793e-13
2017-09-06 02:20:00,3.4380998962292685e-13
2017-09-06 02:30:00,3.346735557951829e-13
2017-09-06 02:40:00,3.315566643882161e-13
2017-09-06 02:50:00,3.29722267593106e-13
2017-09-06 03:00:00,3.288254475178604e-13
2017-09-06 03:10:00,3.3301454956564305e-13
2017-09-06 03:20:00,3.335290232660892e-13
2017-09-06 03:30:00,3.334359337457664e-13
2017-09-06 03:40:00,3.336682056197877e-13
2017-09-06 03:50:00,3.3574573611105205e-13
2017-09-06 04:00:00,3.4024497014805773e-13
2017-09-06 04:10:00,3.429565123271148e-13
2017-09-06 04:20:00,3.401730935019105e-13
2017-09-06 04:30:00,3.3652334168150253e-13
2017-09-06 04:40:00,3.3459511053523265e-13
2017-09-06 04:50:00,3.3085937133408694e-13
2017-09-06 05:00:00,3.2527282348029145e-13
2017-09-06 05:10:00,3.25233964334788e-13
2017-09-06 05:20:00,3.2790248014405954e-13
2017-09-06 05:30:00,3.259786950531232e-13
2017-09-06 05:40:00,3.2469561597907093e-13
2017-09-06 05:50:00,3.2742029495436053e-13
2017-09-06 06:00:00,3.332677954292918e-13
2017-09-06 06:10:00,3.337800975207651e-13
2017-09-06 06:20:00,3.27573378013721e-13
2017-09-06 06:30:00,3.290157092644752e-13
2017-09-06 06:40:00,3.339583168591191e-13
2017-09-06 06:50:00,3.372189324225908e-13
2017-09-06 07:00:00,3.4091440151561145e-13
2017-09-06 07:10:00,3.390025702405737e-13
2017-09-06 07:20:00,3.331679478551453e-13
2017-09-06 07:30:00,3.3141550640860173e-13
2017-09-06 07:40:00,3.347781042097608e-13
2017-09-06 07:50:00,3.398835525644137e-13
2017-09-06 08:00:00,3.365716429327281e-13
2017-09-06 08:10:00,3.338015443134492e-13
2017-09-06 08:20:00,3.36583021466651e-13
2017-09-06 08:30:00,3.38498358773937e-13
2017-09-06 08:40:00,3.404708550980323e-13
2017-09-06 08:50:00,3.4092442864456324e-13
2017-09-06 09:00:00,3.382662299382562e-13
2017-09-06 09:10:00,3.390439698532783e-13
2017-09-06 09:20:00,3.417313877923297e-13
2017-09-06 09:30:00,3.449011332694661e-13
2017-09-06 09:40:00,3.43415655280181e-13
2017-09-06 09:50:00,3.420899317200196e-13
2017-09-06 10:00:00,3.474396625286283e-13
2017-09-06 10:10:00,3.4972942544337293e-13
2017-09-06 10:20:00,3.5099408469795373e-13
2017-09-06 10:30:00,3.48621618715004e-13
2017-09-06 10:40:00,3.3948195308386554e-13
2017-09-06 10:50:00,3.337626197959427e-13
2017-09-06 11:00:00,3.3535233223729283e-13
2017-09-06 11:10:00,3.409601737086597e-13
2017-09-06 11:20:00,3.470861045964945e-13
2017-09-06 11:30:00,3.4216349110801585e-13
2017-09-06 11:40:00,3.364298049250108e-13
2017-09-06 11:50:00,3.374096254434069e-13
2017-09-06 12:00:00,3.3926657355734493e-13
2017-09-06 12:10:00,3.407487751367006e-13
2017-09-06 12:20:00,3.443222902819134e-13
2017-09-06 12:30:00,3.5325543602860946e-13
2017-09-06 12:40:00,3.5879295246645954e-13
2017-09-06 12:50:00,3.560857143588977e-13
2017-09-06 13:00:00,3.568701019691869e-13
2017-09-06 13:10:00,3.625126036265767e-13
2017-09-06 13:20:00,3.6715015252104425e-13
2017-09-06 13:30:00,3.707222940202015e-13
2017-09-06 13:40:00,3.787974512097481e-13
2017-09-06 13:50:00,3.908539750695932e-13
2017-09-06 14:00:00,3.990099493616211e-13
2017-09-06 14:10:00,4.036398622033314e-13
2017-09-06 14:20:00,4.082644355630994e-13
2017-09-06 14:30:00,4.079990297893657e-13
2017-09-06 14:40:00,4.0590450818420413e-13
2017-09-06 14:50:00,4.077788290351466e-13
2017-09-06 15:00:00,4.081097931887949e-13
