Timestamp,Orbit Mean Density (kg/m^3)
2019-09-17 00:00:00,1.5276516742538857e-13
2019-09-17 00:10:00,1.538435552544135e-13
2019-09-17 00:20:00,1.5315681988413185e-13
2019-09-17 00:30:00,1.578659425468121e-13
2019-09-17 00:40:00,1.6536124216005653e-13
2019-09-17 00:50:00,1.705757350646591e-13
2019-09-17 01:00:00,1.6731013434247045e-13
2019-09-17 01:10:00,1.5922372877237229e-13
2019-09-17 01:20:00,1.5769874520023733e-13
2019-09-17 01:30:00,1.590029005077637e-13
2019-09-17 01:40:00,1.5764236088909728e-13
2019-09-17 01:50:00,1.5593305117914505e-13
2019-09-17 02:00:00,1.557868351513632e-13
2019-09-17 02:10:00,1.5606858697485416e-13
2019-09-17 02:20:00,1.5393387431334926e-13
2019-09-17 02:30:00,1.4812035156956429e-13
2019-09-17 02:40:00,1.4302573956182834e-13
2019-09-17 02:50:00,1.4521331610043545e-13
2019-09-17 03:00:00,1.49831837280596e-13
2019-09-17 03:10:00,1.532879828585876e-13
2019-09-17 03:20:00,1.5700899596051604e-13
2019-09-17 03:30:00,1.569401360435609e-13
2019-09-17 03:40:00,1.5463821844315814e-13
2019-09-17 03:50:00,1.5541985429253077e-13
2019-09-17 04:00:00,1.5886031649742914e-13
2019-09-17 04:10:00,1.6047305019154228e-13
2019-09-17 04:20:00,1.5908161612502708e-13
2019-09-17 04:30:00,1.543576346247797e-13
2019-09-17 04:40:00,1.5234439026106294e-13
2019-09-17 04:50:00,1.502222643447169e-13
2019-09-17 05:00:00,1.4690717933869094e-13
2019-09-17 05:10:00,1.4588057158675654e-13
2019-09-17 05:20:00,1.4340118930837126e-13
2019-09-17 05:30:00,1.3966916452020012e-13
2019-09-17 05:40:00,1.44893855661075e-13
2019-09-17 05:50:00,1.471202373755352e-13
2019-09-17 06:00:00,1.4703985969948933e-13
2019-09-17 06:10:00,1.4946727261003861e-13
2019-09-17 06:20:00,1.5145503758547948e-13
2019-09-17 06:30:00,1.5446084410491941e-13
2019-09-17 06:40:00,1.5867851336711965e-13
2019-09-17 06:50:00,1.619470829308759e-13
2019-09-17 07:00:00,1.643610187613672e-13
2019-09-17 07:10:00,1.602591823816981e-13
2019-09-17 07:20:00,1.5895372343509484e-13
2019-09-17 07:30:00,1.616597300442499e-13
2019-09-17 07:40:00,1.5893405494612854e-13
2019-09-17 07:50:00,1.594420507383082e-13
2019-09-17 08:00:00,1.658815613308769e-13
2019-09-17 08:10:00,1.6902929699119417e-13
2019-09-17 08:20:00,1.6396424647456748e-13
2019-09-17 08:30:00,1.577099051052778e-13
2019-09-17 08:40:00,1.5894854555156394e-13
2019-09-17 08:50:00,1.5749505886499613e-13
2019-09-17 09:00:00,1.5215429915356648e-13
2019-09-17 09:10:00,1.533336177601614e-13
2019-09-17 09:20:00,1.548269666985978e-13
2019-09-17 09:30:00,1.4850901780583157e-13
2019-09-17 09:40:00,1.4485686770781648e-13
2019-09-17 09:50:00,1.4575049777924108e-13
2019-09-17 10:00:00,1.45578094266914e-13
2019-09-17 10:10:00,1.447987379932672e-13
2019-09-17 10:20:00,1.4638413318026308e-13
2019-09-17 10:30:00,1.4934553455859957e-13
2019-09-17 10:40:00,1.5232606625466321e-13
2019-09-17 10:50:00,1.5146717828188734e-13
2019-09-17 11:00:00,1.5060432914449476e-13
2019-09-17 11:10:00,1.5033798087371104e-13
2019-09-17 11:20:00,1.4516794830151298e-13
