Timestamp,Orbit Mean Density (kg/m^3)
2014-08-08 00:00:00,6.502240984865631e-13
2014-08-08 00:10:00,6.536967347474266e-13
2014-08-08 00:20:00,6.546039076953943e-13
2014-08-08 00:30:00,6.578726114951043e-13
2014-08-08 00:40:00,6.595396431344249e-13
2014-08-08 00:50:00,6.54278034345657e-13
2014-08-08 01:00:00,6.57849754949046e-13
2014-08-08 01:10:00,6.673904881852433e-13
2014-08-08 01:20:00,6.676983101324277e-13
2014-08-08 01:30:00,6.65717672737987e-13
2014-08-08 01:40:00,6.663370781891833e-13
2014-08-08 01:50:00,6.693168723553498e-13
2014-08-08 02:00:00,6.706819392411318e-13
2014-08-08 02:10:00,6.73759804546441e-13
2014-08-08 02:20:00,6.798885597110099e-13
2014-08-08 02:30:00,6.774352092193397e-13
2014-08-08 02:40:00,6.735257476774775e-13
2014-08-08 02:50:00,6.756911106741624e-13
2014-08-08 03:00:00,6.769082380998906e-13
2014-08-08 03:10:00,6.787462685663758e-13
2014-08-08 03:20:00,6.827338577199717e-13
2014-08-08 03:30:00,6.849986660071931e-13
2014-08-08 03:40:00,6.818637720820537e-13
2014-08-08 03:50:00,6.777576477619665e-13
2014-08-08 04:00:00,6.826259304631735e-13
2014-08-08 04:10:00,6.911514420326818e-13
2014-08-08 04:20:00,6.887880497869732e-13
2014-08-08 04:30:00,6.847112350487232e-13
2014-08-08 04:40:00,6.837410885537976e-13
2014-08-08 04:50:00,6.814118688947152e-13
2014-08-08 05:00:00,6.843490474019733e-13
2014-08-08 05:10:00,6.912635336027769e-13
2014-08-08 05:20:00,6.938117069979558e-13
2014-08-08 05:30:00,6.912552619348751e-13
2014-08-08 05:40:00,6.944834965351201e-13
2014-08-08 05:50:00,7.068718576432589e-13
2014-08-08 06:00:00,7.115214381056448e-13
2014-08-08 06:10:00,7.126210884125216e-13
2014-08-08 06:20:00,7.188554515180126e-13
2014-08-08 06:30:00,7.17284258905116e-13
2014-08-08 06:40:00,7.124331416499326e-13
2014-08-08 06:50:00,7.118049074552209e-13
2014-08-08 07:00:00,7.161555772582807e-13
2014-08-08 07:10:00,7.173657121405375e-13
2014-08-08 07:20:00,7.1365877285884e-13
2014-08-08 07:30:00,7.128116192054865e-13
2014-08-08 07:40:00,7.142342562454138e-13
2014-08-08 07:50:00,7.160523822397676e-13
2014-08-08 08:00:00,7.159592409365226e-13
2014-08-08 08:10:00,7.159048918446377e-13
2014-08-08 08:20:00,7.11660931583544e-13
2014-08-08 08:30:00,6.977807855703708e-13
2014-08-08 08:40:00,6.8947049502264e-13
2014-08-08 08:50:00,6.911612704086221e-13
2014-08-08 09:00:00,6.922938804342439e-13
2014-08-08 09:10:00,6.908589105340206e-13
2014-08-08 09:20:00,6.830550997717361e-13
2014-08-08 09:30:00,6.780875717326785e-13
2014-08-08 09:40:00,6.764570702372904e-13
2014-08-08 09:50:00,6.705154381382746e-13
2014-08-08 10:00:00,6.789027438896841e-13
