Timestamp,YEAR,DOY,Bartels_rotation_number,ID_for_IMF_spacecraft,ID_for_SW_Plasma_spacecraft,num_points_IMF_averages,num_points_Plasma_averages,Scalar_B_nT,Vector_B_Magnitude_nT,Lat_Angle_of_B_GSE,Long_Angle_of_B_GSE,BX_nT_GSE_GSM,BY_nT_GSE,BZ_nT_GSE,BY_nT_GSM,BZ_nT_GSM,RMS_magnitude_nT,RMS_field_vector_nT,RMS_BX_GSE_nT,RMS_BY_GSE_nT,RMS_BZ_GSE_nT,SW_Plasma_Temperature_K,SW_Proton_Density_N_cm3,SW_Plasma_Speed_km_s,SW_Plasma_flow_long_angle,SW_Plasma_flow_lat_angle,Alpha_Prot_ratio,sigma_T_K,sigma_n_N_cm3,sigma_V_km_s,sigma_phi_V_degrees,sigma_theta_V_degrees,sigma_ratio,Flow_pressure,E_electric_field,Plasma_Beta,Alfen_mach_number,Magnetosonic_Mach_number,Quasy_Invariant,Kp_index,R_Sunspot_No,Dst_index_nT,ap_index_nT,f10.7_index,AE_index_nT,AL_index_nT,AU_index_nT,pc_index,Lyman_alpha,Proton_flux_>1_Mev,Proton_flux_>2_Mev,Proton_flux_>4_Mev,Proton_flux_>10_Mev,Proton_flux_>30_Mev,Proton_flux_>60_Mev,Flux_FLAG
2014-09-28 00:00:00,2014,271,2471,51,51,53,32,5.3,3.3,-12.6,136.4,-2.4,2.2,-0.7,2.0,-1.2,0.3,3.9,1.8,2.8,2.1,68132.0,6.1,396.0,-0.1,0.7,9.999,18389.0,0.7,13.0,3.1,2.1,9.999,1.91,0.48,1.78,9.2,5.8,0.014,17,193,-19,6,181.8,92,-51,40,1.0,0.008352,999999.99,99999.99,99999.99,0.14,0.08,0.05,-1
2014-09-28 01:00:00,2014,271,2471,51,51,59,34,5.5,5.1,24.5,216.7,-3.7,-2.8,2.1,-2.1,2.8,0.2,2.0,0.5,1.3,1.4,67515.0,5.9,391.0,4.3,-1.7,9.999,8279.0,0.4,4.0,1.2,1.4,9.999,1.8,-1.09,1.59,8.6,5.6,0.016,17,193,-20,6,181.8,51,-22,29,-0.1,0.008352,999999.99,99999.99,99999.99,0.15,0.07,0.05,-1
2014-09-28 02:00:00,2014,271,2471,51,51,61,37,5.5,5.3,37.6,223.3,-3.0,-2.9,3.2,-1.8,3.9,0.4,1.6,0.9,1.2,0.6,54374.0,5.3,392.0,3.9,-2.7,9.999,7195.0,0.4,5.0,1.0,0.8,9.999,1.63,-1.53,1.33,8.2,5.6,0.0177,17,193,-17,6,181.8,35,-13,23,-0.2,0.008352,999999.99,99999.99,99999.99,0.13,0.07,0.05,-1
2014-09-28 03:00:00,2014,271,2471,51,51,66,38,5.5,5.2,18.5,155.7,-4.5,2.0,1.7,2.5,0.9,0.3,1.5,0.5,1.0,0.9,85653.0,4.3,399.0,1.8,-1.2,9.999,23367.0,0.6,9.0,1.1,1.6,9.999,1.37,-0.36,1.27,7.5,5.2,0.021,13,193,-18,5,181.8,42,-19,22,-0.2,0.008352,999999.99,99999.99,99999.99,0.14,0.08,0.06,-1
2014-09-28 04:00:00,2014,271,2471,51,51,58,31,5.0,4.7,3.4,147.7,-4.0,2.5,0.3,2.4,-0.7,0.2,1.5,0.8,0.9,0.9,80467.0,4.5,413.0,0.6,1.4,9.999,17932.0,0.5,8.0,1.1,0.9,9.999,1.54,0.29,1.56,8.8,5.7,0.0155,13,193,-16,5,181.8,57,-14,44,0.3,0.008352,999999.99,99999.99,99999.99,0.15,0.08,0.05,-1
2014-09-28 05:00:00,2014,271,2471,51,51,59,35,5.3,5.0,11.6,173.4,-4.8,0.6,1.0,1.0,0.6,0.1,1.7,0.3,1.5,0.8,64386.0,4.6,411.0,3.3,1.0,9.999,12566.0,0.4,4.0,2.2,1.2,9.999,1.55,-0.25,1.31,8.3,5.7,0.0172,13,193,-16,5,181.8,69,-19,50,0.4,0.008352,999999.99,99999.99,99999.99,0.15,0.09,0.06,-1
2014-09-28 06:00:00,2014,271,2471,51,51,60,36,5.1,5.1,10.0,182.4,-5.0,-0.2,0.9,0.2,0.9,0.0,0.7,0.1,0.5,0.5,49546.0,4.2,406.0,4.0,0.1,9.999,8469.0,0.4,3.0,0.7,0.9,9.999,1.38,-0.37,1.2,8.2,5.7,0.0179,13,193,-15,5,181.8,108,-58,50,0.6,0.008352,999999.99,99999.99,99999.99,0.15,0.08,0.06,-1
2014-09-28 07:00:00,2014,271,2471,51,51,58,32,5.3,5.3,16.0,177.5,-5.1,0.2,1.5,0.9,1.2,0.1,0.7,0.1,0.6,0.4,55892.0,4.5,407.0,3.7,-0.2,9.999,11190.0,0.5,3.0,0.9,0.6,9.999,1.49,-0.49,1.23,8.1,5.7,0.0179,13,193,-18,5,181.8,138,-66,72,0.9,0.008352,999999.99,99999.99,99999.99,0.14,0.08,0.05,-1
2014-09-28 08:00:00,2014,271,2471,51,51,59,28,5.8,5.5,27.8,163.9,-4.7,1.4,2.6,2.6,1.5,0.3,1.6,0.5,1.3,0.8,52530.0,4.5,408.0,2.9,-1.0,9.999,5620.0,0.2,2.0,0.8,1.1,9.999,1.5,-0.61,1.01,7.5,5.5,0.0214,13,193,-20,5,181.8,108,-33,75,0.6,0.008352,999999.99,99999.99,99999.99,0.16,0.08,0.06,-1
2014-09-28 09:00:00,2014,271,2471,51,51,60,30,5.3,3.7,25.2,149.0,-2.9,1.7,1.6,2.3,0.4,0.2,3.7,1.4,2.5,2.3,66366.0,4.7,414.0,2.7,-1.0,9.999,17778.0,0.6,9.0,2.4,1.7,9.999,1.61,-0.17,1.36,8.5,5.7,0.0166,23,193,-16,9,181.8,57,-22,35,-0.0,0.008352,999999.99,99999.99,99999.99,0.15,0.08,0.05,-1
