Timestamp,YEAR,DOY,Bartels_rotation_number,ID_for_IMF_spacecraft,ID_for_SW_Plasma_spacecraft,num_points_IMF_averages,num_points_Plasma_averages,Scalar_B_nT,Vector_B_Magnitude_nT,Lat_Angle_of_B_GSE,Long_Angle_of_B_GSE,BX_nT_GSE_GSM,BY_nT_GSE,BZ_nT_GSE,BY_nT_GSM,BZ_nT_GSM,RMS_magnitude_nT,RMS_field_vector_nT,RMS_BX_GSE_nT,RMS_BY_GSE_nT,RMS_BZ_GSE_nT,SW_Plasma_Temperature_K,SW_Proton_Density_N_cm3,SW_Plasma_Speed_km_s,SW_Plasma_flow_long_angle,SW_Plasma_flow_lat_angle,Alpha_Prot_ratio,sigma_T_K,sigma_n_N_cm3,sigma_V_km_s,sigma_phi_V_degrees,sigma_theta_V_degrees,sigma_ratio,Flow_pressure,E_electric_field,Plasma_Beta,Alfen_mach_number,Magnetosonic_Mach_number,Quasy_Invariant,Kp_index,R_Sunspot_No,Dst_index_nT,ap_index_nT,f10.7_index,AE_index_nT,AL_index_nT,AU_index_nT,pc_index,Lyman_alpha,Proton_flux_>1_Mev,Proton_flux_>2_Mev,Proton_flux_>4_Mev,Proton_flux_>10_Mev,Proton_flux_>30_Mev,Proton_flux_>60_Mev,Flux_FLAG
2019-07-28 00:00:00,2019,209,2536,51,52,63,38,5.9,5.7,-24.0,328.6,4.4,-2.7,-2.3,-2.9,-2.1,1.1,1.9,1.1,1.4,0.6,25908.0,10.3,337.0,-2.0,-5.4,0.021,9715.0,2.4,3.0,0.8,0.8,0.004,2.12,0.71,1.9,9.2,5.6,0.0142,13,0,-5,5,69.2,83,-28,55,1.0,0.006191,999999.99,99999.99,99999.99,0.32,0.18,0.13,-1
2019-07-28 01:00:00,2019,209,2536,51,52,59,34,3.1,1.7,45.8,294.7,0.5,-1.1,1.2,-1.0,1.3,0.6,2.6,1.2,1.3,1.9,61999.0,13.2,340.0,-0.6,-6.5,0.028,7709.0,0.8,4.0,1.0,1.4,0.005,2.83,-0.44,10.88,19.9,6.2,0.003,13,0,-3,5,69.2,136,-21,115,1.2,0.006191,999999.99,99999.99,99999.99,0.3,0.17,0.13,-1
2019-07-28 02:00:00,2019,209,2536,51,52,60,37,3.1,2.8,17.4,349.7,2.7,-0.5,0.8,-0.4,0.9,0.3,1.3,0.5,0.5,1.0,53943.0,13.6,344.0,-1.3,-4.4,0.026,4733.0,0.4,2.0,0.7,0.7,0.002,2.97,-0.31,10.73,20.5,6.4,0.0028,13,0,0,5,69.2,77,-10,67,1.1,0.006191,999999.99,99999.99,99999.99,0.29,0.17,0.12,-1
2019-07-28 03:00:00,2019,209,2536,51,52,64,38,4.2,4.0,-20.8,9.2,3.7,0.6,-1.4,0.3,-1.5,1.0,1.7,0.8,1.0,1.0,47133.0,12.3,344.0,-2.0,-4.9,0.025,5540.0,1.4,7.0,0.8,1.2,0.005,2.67,0.52,5.09,14.4,6.2,0.0058,17,0,-3,6,69.2,73,-5,68,1.5,0.006191,999999.99,99999.99,99999.99,0.28,0.18,0.13,-1
2019-07-28 04:00:00,2019,209,2536,51,52,60,37,5.6,5.6,-21.4,3.3,5.2,0.3,-2.0,-0.1,-2.0,0.4,0.8,0.4,0.4,0.5,40158.0,10.0,356.0,-0.6,-3.5,0.018,4315.0,0.7,4.0,0.8,0.5,0.002,2.27,0.71,2.24,10.1,5.9,0.0118,17,0,-7,6,69.2,125,-35,89,1.8,0.006191,999999.99,99999.99,99999.99,0.29,0.18,0.13,-1
2019-07-28 05:00:00,2019,209,2536,51,52,58,34,5.1,3.5,-30.0,34.6,2.5,1.7,-1.7,1.2,-2.1,0.7,3.7,3.2,1.4,1.3,35618.0,10.3,359.0,0.6,-2.7,0.016,14355.0,1.8,8.0,1.3,0.4,0.003,2.36,0.75,2.7,11.3,6.2,0.0093,17,0,-4,6,69.2,303,-184,119,2.0,0.006191,999999.99,99999.99,99999.99,0.27,0.17,0.13,-1
2019-07-28 06:00:00,2019,209,2536,51,52,58,35,3.4,3.3,29.5,191.1,-2.8,-0.6,1.6,-0.1,1.7,0.1,0.9,0.5,0.5,0.6,26936.0,14.5,347.0,2.0,-3.1,0.013,1566.0,0.4,2.0,0.2,0.2,0.002,3.07,-0.59,8.1,19.4,6.9,0.0032,10,0,0,4,69.2,119,-63,56,1.1,0.006191,999999.99,99999.99,99999.99,0.28,0.17,0.12,-1
2019-07-28 07:00:00,2019,209,2536,51,52,62,38,3.3,2.9,27.5,142.6,-2.0,1.6,1.3,1.9,0.7,0.2,1.5,0.8,1.1,0.7,30357.0,12.4,349.0,0.8,-2.5,0.016,4041.0,1.3,3.0,0.8,0.4,0.004,2.68,-0.24,7.52,18.6,6.8,0.0034,10,0,2,4,69.2,79,-29,49,1.1,0.006191,999999.99,99999.99,99999.99,0.25,0.18,0.13,-1
2019-07-28 08:00:00,2019,209,2536,51,52,59,35,3.7,3.3,22.1,180.3,-3.1,0.0,1.3,0.5,1.2,0.2,1.6,1.1,1.1,0.4,22873.0,11.2,350.0,0.5,-1.8,0.023,4364.0,0.4,3.0,0.4,0.3,0.003,2.5,-0.42,5.15,15.8,6.8,0.0047,10,0,1,4,69.2,60,-37,22,0.6,0.006191,999999.99,99999.99,99999.99,0.28,0.19,0.13,-1
2019-07-28 09:00:00,2019,209,2536,51,52,59,35,4.0,3.9,5.8,161.9,-3.7,1.2,0.4,1.3,-0.1,0.1,0.6,0.1,0.5,0.4,32048.0,10.0,348.0,0.2,-1.7,0.025,3109.0,0.3,1.0,0.2,0.2,0.002,2.22,0.03,4.17,13.8,6.4,0.0063,10,0,-1,4,69.2,51,-20,32,0.6,0.006191,999999.99,99999.99,99999.99,0.27,0.18,0.13,-1
