Timestamp,YEAR,DOY,Bartels_rotation_number,ID_for_IMF_spacecraft,ID_for_SW_Plasma_spacecraft,num_points_IMF_averages,num_points_Plasma_averages,Scalar_B_nT,Vector_B_Magnitude_nT,Lat_Angle_of_B_GSE,Long_Angle_of_B_GSE,BX_nT_GSE_GSM,BY_nT_GSE,BZ_nT_GSE,BY_nT_GSM,BZ_nT_GSM,RMS_magnitude_nT,RMS_field_vector_nT,RMS_BX_GSE_nT,RMS_BY_GSE_nT,RMS_BZ_GSE_nT,SW_Plasma_Temperature_K,SW_Proton_Density_N_cm3,SW_Plasma_Speed_km_s,SW_Plasma_flow_long_angle,SW_Plasma_flow_lat_angle,Alpha_Prot_ratio,sigma_T_K,sigma_n_N_cm3,sigma_V_km_s,sigma_phi_V_degrees,sigma_theta_V_degrees,sigma_ratio,Flow_pressure,E_electric_field,Plasma_Beta,Alfen_mach_number,Magnetosonic_Mach_number,Quasy_Invariant,Kp_index,R_Sunspot_No,Dst_index_nT,ap_index_nT,f10.7_index,AE_index_nT,AL_index_nT,AU_index_nT,pc_index,Lyman_alpha,Proton_flux_>1_Mev,Proton_flux_>2_Mev,Proton_flux_>4_Mev,Proton_flux_>10_Mev,Proton_flux_>30_Mev,Proton_flux_>60_Mev,Flux_FLAG
2017-12-05 00:00:00,2017,339,2514,51,52,59,18,7.5,5.0,-5.4,138.3,-3.8,3.3,-0.5,3.3,-0.4,1.2,5.6,2.7,4.3,2.3,264623.0,12.8,417.0,6.1,-11.0,0.083,24823.0,1.1,3.0,1.3,0.9,0.011,4.95,0.17,3.72,9.9,4.8,0.012,33,0,-24,18,66.0,318,-197,121,2.2,0.005976,999999.99,99999.99,99999.99,99999.99,99999.99,99999.99,0
2017-12-05 01:00:00,2017,339,2514,51,52,62,29,9.0,8.3,-17.5,136.1,-5.7,5.5,-2.5,5.5,-2.4,0.9,3.5,1.3,2.2,2.4,236051.0,8.7,426.0,6.6,-10.4,0.111,82996.0,1.3,9.0,1.6,1.4,0.011,3.81,1.02,1.63,7.0,4.5,0.0244,33,0,-25,18,66.0,421,-321,100,2.8,0.005976,999999.99,99999.99,99999.99,99999.99,99999.99,99999.99,0
2017-12-05 02:00:00,2017,339,2514,51,52,60,34,10.7,10.4,-14.6,113.3,-4.0,9.3,-2.6,9.2,-2.8,0.8,2.1,1.0,0.6,1.7,186276.0,7.1,433.0,6.1,-10.6,0.086,22563.0,0.7,5.0,0.8,0.7,0.022,2.99,1.21,0.81,5.4,4.1,0.0409,33,0,-30,18,66.0,438,-318,121,3.8,0.005976,999999.99,99999.99,99999.99,0.25,0.15,0.11,-1
2017-12-05 03:00:00,2017,339,2514,51,52,57,32,10.0,9.1,-9.4,122.3,-4.8,7.6,-1.5,7.5,-2.0,1.9,4.5,1.3,2.4,3.5,181657.0,8.2,424.0,6.5,-10.6,0.065,26846.0,2.3,6.0,0.7,0.9,0.012,3.1,0.85,1.06,6.1,4.4,0.0323,30,0,-33,15,66.0,322,-232,90,3.1,0.005976,999999.99,99999.99,99999.99,0.23,0.15,0.11,-1
2017-12-05 04:00:00,2017,339,2514,51,52,62,38,9.7,9.3,-6.0,141.3,-7.3,5.8,-1.0,5.6,-1.7,0.4,2.6,0.6,0.7,2.4,162205.0,11.0,409.0,4.0,-7.8,0.053,15570.0,0.6,8.0,0.6,1.4,0.01,3.72,0.7,1.41,7.0,4.7,0.0243,30,0,-31,15,66.0,241,-176,65,2.5,0.005976,999999.99,99999.99,99999.99,0.23,0.14,0.09,-1
2017-12-05 05:00:00,2017,339,2514,51,52,60,36,6.6,5.5,1.1,121.6,-2.9,4.7,0.1,4.7,-0.7,1.6,3.7,2.6,1.5,2.1,158191.0,14.6,419.0,2.6,-7.0,0.038,25450.0,1.6,5.0,0.9,0.8,0.005,4.93,0.29,4.0,12.1,5.7,0.0081,30,0,-26,15,66.0,191,-132,59,1.8,0.005976,999999.99,99999.99,99999.99,0.23,0.14,0.1,-1
2017-12-05 06:00:00,2017,339,2514,51,52,60,37,8.7,7.6,-13.9,116.6,-3.3,6.6,-1.8,6.1,-3.2,1.9,4.5,1.4,1.2,4.2,133919.0,14.3,420.0,0.4,-5.3,0.04,10379.0,1.0,6.0,0.9,1.6,0.006,4.89,1.34,2.06,9.1,5.5,0.0143,40,0,-24,27,66.0,415,-325,90,2.4,0.005976,999999.99,99999.99,99999.99,0.25,0.13,0.1,-1
2017-12-05 07:00:00,2017,339,2514,51,52,64,38,12.1,11.3,-2.9,123.7,-6.2,9.4,-0.6,8.9,-2.9,0.8,4.3,2.6,1.5,3.0,135208.0,13.5,432.0,0.0,-5.2,0.041,18151.0,2.4,11.0,1.7,1.5,0.008,4.9,1.25,1.01,6.6,4.8,0.0276,40,0,-32,27,66.0,641,-513,128,4.2,0.005976,999999.99,99999.99,99999.99,0.24,0.15,0.1,-1
2017-12-05 08:00:00,2017,339,2514,51,52,67,40,9.6,6.3,-21.9,96.5,-0.7,5.8,-2.3,4.9,-3.8,1.9,7.3,6.1,2.6,3.1,247259.0,9.2,511.0,2.6,-0.2,0.034,61767.0,1.8,30.0,1.6,2.0,0.011,4.56,1.94,1.56,8.1,5.3,0.0183,40,0,-37,27,66.0,363,-251,112,3.1,0.005976,999999.99,99999.99,99999.99,0.25,0.14,0.1,-1
2017-12-05 09:00:00,2017,339,2514,51,52,58,35,10.6,9.4,-17.6,115.7,-3.9,8.1,-2.8,6.9,-5.1,1.0,4.8,3.3,2.3,2.6,207204.0,10.4,517.0,2.7,1.8,0.048,20951.0,1.6,10.0,0.8,0.5,0.009,5.53,2.64,1.29,7.9,5.4,0.0192,47,0,-43,39,66.0,719,-536,183,3.5,0.005976,999999.99,99999.99,99999.99,0.21,0.13,0.09,-1
